	序号NO.	地区REGION	产品类别CATEGORY	在华注册编号CHINA REG. NO.	所在地区注册编号OVERSEAS REG. NO.	企业名称NAME	生产场所地址ADDRESS	注册日期REG. DATE	注册有效期REG. EXPIRE DATE	状态STATE
0	1	中国台湾	其他饮料	CTWN24092112130003	53786269	宝柚食品有限公司	二水鄉裕民村員集路三段289號	2021-12-13	2026-12-13	有效
1	2	中国台湾	其他饮料	CTWN24092112070002	H-142612538-00002-8	开元食品工业股份有限公司观音厂	桃园市观音区树林里经建一路28号	2021-12-07	2026-12-07	有效
2	3	中国台湾	茶叶类	CTWN21012112070002	F-186017536-00001-0	伂橙股份有限公司	新北市五股區五權六路26号	2021-12-07	2026-12-07	有效
3	4	中国台湾	茶叶类	CTWN21012112070001	86017536	伂橙股份有限公司	中国台湾新北市五股区五权六路26号	2021-12-07	2026-12-07	有效
4	5	中国台湾	固体饮料	CTWN24082112070002	16507454	Wedar Biotechnology Co. Ltd.	高雄市前鎮區80661復興四路12號6樓之20	2021-12-07	2026-12-07	暂停进口
5	6	中国台湾	其他饮料	CTWN24092111300001	B-150810737-00000-0	華桂長源食品有限公司	臺中市南屯區寶山東二街8號10樓之2	2021-11-30	2026-11-30	有效
6	7	中国台湾	果蔬汁及其饮料	CTWN24022111170001	TW2100053	大江生医股份有限公司	屏东县长治乡德和村神农路12号	2021-11-17	2026-11-17	有效
7	8	中国台湾	固体饮料	CTWN24082111170001	16962158	金穎生物科技股份有限公司	台南市新營區新工路33號	2021-11-17	2026-11-17	有效
8	9	中国台湾	膨化食品	CTWN31022111170001	59869913	维力食品工业股份有限公司	台灣彰化縣田中鎮員集路三段465號	2021-11-17	2026-11-17	暂停进口
9	10	中国台湾	冷冻饮品及其制作料、食用冰	CTWN24112111170001	H-112143340-00000-3	双叶食品股份有限公司	中国台湾省桃园市龟山区顶湖路10号	2021-11-17	2026-11-17	有效
10	11	中国台湾	粮食制品以及其它产品	CTWN20012112210009	53155039	大甲佳旭生技股份有限公司	台中市大安區中山南路96號	2021-12-21	2026-12-21	暂停进口
11	12	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012112210001	2005999990	五桔國際行銷有限公司	台南市新市區民族路137號	2021-12-21	2026-12-21	暂停进口
12	13	中国台湾	粮食制品以及其它产品	CTWN20012112160004	22736075	虎牌正通實業股份有限公司	台灣省宜蘭縣五結鄉利興三路5號	2021-12-15	2026-12-15	有效
13	14	中国台湾	固体饮料	CTWN24082112160004	70363187	Lido International Biotechnology Co. Ltd.	3F., No. 501-11, Zhongzheng Rd., Xindian Dist., New Taipei City, Taiwan	2021-12-15	2026-12-15	有效
14	15	中国台湾	固体饮料	CTWN24082112130003	42685428	Sale assistance	No.10, Aly. 100, Ln. 476, Sec. 2, Yongping Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)	2021-12-13	2026-12-13	注销
15	16	中国台湾	粮食制品以及其它产品	CTWN20012112130002	59314745	禾進工業股份有限公司	彰化縣福興鄉福興工業區福工路15號	2021-12-13	2026-12-13	有效
16	17	中国台湾	粮食制品以及其它产品	CTWN20012112130003	59869913	维力食品工业股份有限公司	台湾彰化县田中镇员集路三段465号	2021-12-13	2026-12-13	暂停进口
17	18	中国台湾	糖果	CTWN27012112130001	B-150810737-00000-0	華桂長源食品有限公司	臺中市南屯區寶山東二街8號10樓之2	2021-12-13	2026-12-13	有效
18	19	中国台湾	蛋白饮料	CTWN24032112130001	B-150810737-00000-0	華桂長源食品有限公司	臺中市南屯區寶山東二街8號10樓之2	2021-12-13	2026-12-13	有效
19	20	中国台湾	粮食制品以及其它产品	CTWN20012112130001	81133395	MAYUSHAN FOODS CO., LTD.	NO. 709, Minzu 1st Rd., Zuoying Dist., Kaohsiung.	2021-12-13	2026-12-13	暂停进口
20	21	中国台湾	粮食制品以及其它产品	CTWN20012112210006	80657892	品元實業股份有限公司	新北市八里區訊塘里商港五路99號（1樓）	2021-12-21	2026-12-21	有效
21	22	中国台湾	粮食制品以及其它产品	CTWN20012112210010	65534366	愛之味股份有限公司	興南村工業二路11號	2021-12-21	2026-12-21	有效
22	23	中国台湾	粮食制品以及其它产品	CTWN20012112210008	07857916	太平洋食品廠	中山東路290巷17弄12號	2021-12-21	2026-12-21	有效
23	24	中国台湾	粮食制品以及其它产品	CTWN20012112210007	65002593	优质淀粉有限公司	新北市林口区中湖里文化二路2段379号	2021-12-21	2026-12-21	有效
24	25	中国台湾	粮食制品以及其它产品	CTWN20012112210005	F-184628110-00000-3	義峰食品股份有限公司	新北市土城區忠義路55巷54號	2021-12-21	2026-12-21	有效
25	26	中国台湾	粮食制品以及其它产品	CTWN20012112210012	97062889	合興通食品股份有限公司	台中市南区树义里树义六巷５－２０号	2021-12-21	2026-12-21	有效
26	27	中国台湾	茶叶类	CTWN21012112170003	H-189261528-00000-6	绿壮国际股份有限公司	中国台湾桃园市芦竹区南崁路二段66-8号6楼	2021-12-17	2026-12-17	有效
27	28	中国台湾	糖果	CTWN27012112170002	80471734	SUNMOOD FOOD PRODUCT CO., LTD.	台灣台中市豐原區42077大豐路五段68號1樓	2021-12-17	2026-12-17	有效
28	29	中国台湾	茶叶类	CTWN21012112170005	53171018	EAST ZANG YU TEA CO., LTD.	南投县鹿谷乡广兴村中正一路172号	2021-12-17	2026-12-17	有效
29	30	中国台湾	茶叶类	CTWN21012112170004	99717901	绿壮国际股份有限公司芦竹厂	中国台湾桃园市芦竹区南崁路二段66-8号6楼	2021-12-17	2026-12-17	有效
30	31	中国台湾	粮食制品以及其它产品	CTWN20012112220017	23832625	今口香調理食品股份有限公司	台中市太平區甲堤路608號	2021-12-22	2026-12-22	暂停进口
31	32	中国台湾	粮食制品以及其它产品	CTWN20012112220018	03000553	新蓬莱食品股份有限公司	桃园市中坜区月眉里月眉路二段248巷85号	2021-12-22	2026-12-22	有效
32	33	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012112220002	99624650	金蘭食品股份有限公司	桃園市大溪區介壽路236號	2021-12-22	2026-12-22	有效
33	34	中国台湾	茶叶类	CTWN21012112220006	06081330	松霖食品有限公司	南投縣南投市軍功里中興路337號	2021-12-22	2026-12-22	有效
34	35	中国台湾	粮食制品以及其它产品	CTWN20012112210015	64930570	名將實業有限公司	臺南市安南區州南⾥長和路2段146巷45號	2021-12-21	2026-12-21	有效
35	36	中国台湾	粮食制品以及其它产品	CTWN20012112210014	16655742	黃上食品有限公司	彰化縣伸港鄉海尾村105-33號	2021-12-21	2026-12-21	有效
36	37	中国台湾	粮食制品以及其它产品	CTWN20012112210013	28664443	豐茂食品有限公司	台中市西屯區大河里長安路一段152號	2021-12-21	2026-12-21	有效
37	38	中国台湾	粮食制品以及其它产品	CTWN20012112210011	25008367	台湾黄金荞麦有限公司	台南市玉井区中山路228号	2021-12-21	2026-12-21	有效
38	39	中国台湾	水产品	CTWN18FV1806010405	CT7-0498	明满	高雄市前镇区渔港东二路3号204室	2018-06-01	2023-05-31	暂停进口
